pid,name,multiplier
230,NRV-WBNB,0
229,DEGO-WBNB,0
228,GUM-WBNB,0
227,pBTC-WBNB,0
226,DFT-WBNB,0
225,SWTH-WBNB,0
224,LIEN-WBNB,0
223,ZIL-WBNB,0
222,pCWS-WBNB,0
221,bBadger-BTCB,0
220,bDIGG-BTCB,0
219,LTO-WBNB,0
218,MIR-UST,0
217,TRADE-WBNB,0
216,DUSK-WBNB,0
215,BIFI-WBNB,0
214,TXL-BUSD,0
213,COS-WBNB,0
212,BUNNY-WBNB,0
211,ALICE-WBNB,0
210,FOR-BUSD,0
209,BUX-WBNB,0
208,NULS-BUSD,0
207,BELT-WBNB,0
206,RAMP-BUSD,0
205,BFI-WBNB,0
204,DEXE-BUSD,0
203,BEL-WBNB,0
202,TPT-BUSD,0
201,WATCH-WBNB,0
200,xMARK-BUSD,0
199,bMXX-WBNB,0
198,IOTX-BUSD,0
197,BOR-WBNB,0
196,bOPEN-WBNB,0
195,SUSHI-ETH,0
194,DODO-WBNB,0
192,BRY-WBNB,0
191,ZEE-WBNB,0
190,SWGb-WBNB,0
189,COMP-ETH,0
188,SFP-WBNB,0
187,LINA-BUSD,0
186,LIT-WBNB,0
185,HGET-WBNB,0
184,BDO-WBNB,0
183,EGLD-WBNB,0
182,UST-BUSD,0
181,mAMZN-UST,0
180,mGOOGL-UST,0
179,mNFLX-UST,0
178,mTSLA-UST,0
177,wSOTE-WBNB,0
176,FRONT-WBNB,0
175,Helmet-WBNB,0
174,BTCST-WBNB,0
173,LTC-WBNB,0
172,USDC-BUSD,0
171,DAI-BUSD,0
170,BSCX-WBNB,0
169,TEN-WBNB,0
168,bALBT-WBNB,0
167,REEF-WBNB,0
166,DITTO-WBNB,0
165,VAI-BUSD,0
164,BLINK-WBNB,0
163,UNFI-WBNB,0
162,HARD-WBNB,0
161,CTK-WBNB,0
160,SXP-WBNB,0
159,INJ-WBNB,0
158,FIL-WBNB,0
157,UNI-WBNB,0
156,YFI-WBNB,0
155,YFII-WBNB,0
154,ATOM-WBNB,0
153,XRP-WBNB,0
152,USDT-WBNB,0
151,ALPHA-WBNB,0
150,BTCB-WBNB,0
149,ETH-WBNB,0
148,XVS-WBNB,0
147,TWT-WBNB,0
146,USDT-BUSD,0
145,LINK-WBNB,0
144,EOS-WBNB,0
143,DOT-WBNB,0
142,BAND-WBNB,0
141,ADA-WBNB,0
140,BUSD-WBNB,0
1,CAKE-WBNB,0
136,τBTC-BTCB,0
76,SWINGBY-WBNB,0
135,XED-WBNB,0
134,HAKKA-BUSD,0
133,CGG-WBNB,0
132,SUTER-WBNB,0
131,bROOBEE-WBNB,0
130,HZN-WBNB,0
129,ALPA-WBNB,0
128,PERL-WBNB,0
127,TLM-WBNB,0
125,JGN-WBNB,0
124,EPS-WBNB,0
123,ARPA-WBNB,0
122,ITAM-WBNB,0
121,BONDLY-WBNB,0
120,TKO-WBNB,0
119,APYS-WBNB,0
118,HOO-BUSD,0
117,ODDZ-WBNB,0
116,EASY-WBNB,0
115,NRV-WBNB,0
114,DEGO-WBNB,0
113,GUM-WBNB,0
112,pBTC-WBNB,0
111,DFT-WBNB,0
110,SWTH-WBNB,0
109,LIEN-WBNB,0
108,ZIL-WBNB,0
107,pCWS-WBNB,0
106,bBadger-BTCB,0
104,bDIGG-BTCB,0
103,LTO-WBNB,0
102,MIR-UST,0
101,TRADE-WBNB,0
100,DUSK-WBNB,0
99,BIFI-WBNB,0
98,TXL-BUSD,0
97,COS-WBNB,0
96,BUNNY-WBNB,0
95,ALICE-WBNB,0
94,FOR-BUSD,0
93,BUX-WBNB,0
92,NULS-BUSD,0
91,NULS-WBNB,0
90,BELT-WBNB,0
89,RAMP-BUSD,0
88,BFI-WBNB,0
87,DEXE-BUSD,0
86,BEL-WBNB,0
85,TPT-BUSD,0
84,WATCH-WBNB,0
83,xMARK-BUSD,0
82,bMXX-WBNB,0
81,IOTX-BUSD,0
80,BOR-WBNB,0
79,bOPEN-WBNB,0
78,SUSHI-ETH,0
77,DODO-WBNB,0
75,BRY-WBNB,0
74,ZEE-WBNB,0
73,SWGb-WBNB,0
72,COMP-ETH,0
71,SFP-WBNB,0
70,BETH-ETH,0
69,LINA-BUSD,0
68,LIT-WBNB,0
67,HGET-WBNB,0
66,BDO-WBNB,0
65,EGLD-WBNB,0
63,UST-BUSD,0
62,mAMZN-UST,0
61,mGOOGL-UST,0
60,mNFLX-UST,0
59,mTSLA-UST,0
58,wSOTE-WBNB,0
57,FRONT-WBNB,0
56,Helmet-WBNB,0
55,BTCST-WBNB,0
54,LTC-WBNB,0
53,USDC-BUSD,0
52,DAI-BUSD,0
51,BSCX-WBNB,0
50,TEN-WBNB,0
49,bALBT-WBNB,0
46,OG-WBNB,0
47,ASR-WBNB,0
48,ATM-WBNB,0
45,REEF-WBNB,0
44,DITTO-WBNB,0
43,JUV-WBNB,0
42,PSG-WBNB,0
39,UNFI-WBNB,0
41,VAI-BUSD,0
40,BLINK-WBNB,0
37,HARD-WBNB,0
2,BUSD-WBNB,0
3,ADA-WBNB,0
4,BAND-WBNB,0
5,DOT-WBNB,0
6,EOS-WBNB,0
7,LINK-WBNB,0
11,USDT-BUSD,0
12,TWT-WBNB,0
13,XVS-WBNB,0
14,ETH-WBNB,0
15,BTCB-WBNB,0
16,ALPHA-WBNB,0
17,USDT-WBNB,0
18,XRP-WBNB,0
19,ATOM-WBNB,0
20,YFII-WBNB,0
21,DAI-WBNB,0
22,XTZ-WBNB,0
23,BCH-WBNB,0
24,YFI-WBNB,0
25,UNI-WBNB,0
26,FIL-WBNB,0
27,INJ-WBNB,0
29,USDC-WBNB,0
30,SXP-WBNB,0
32,CTK-WBNB,0
34,STAX-CAKE,0
35,NAR-CAKE,0
36,NYA-CAKE,0
38,bROOBEE-CAKE,0
8,BAKE-WBNB,0
9,BURGER-WBNB,0
10,BAKE-WBNB,0
